"","kgf","s","nome"
"149",0.12121,14.7,"BAT1"
"150",0.12121,14.8,"BAT1"
"151",0.12121,14.9,"BAT1"
"152",0.12121,15,"BAT1"
"153",0.15152,15.1,"BAT1"
"154",0.15152,15.2,"BAT1"
"155",0.15152,15.3,"BAT1"
"156",0.15152,15.4,"BAT1"
"157",0.15152,15.5,"BAT1"
"158",0.15152,15.6,"BAT1"
"159",0.15152,15.7,"BAT1"
"160",0.15152,15.8,"BAT1"
"161",0.15152,15.9,"BAT1"
"162",0.15152,16,"BAT1"
"163",0.15152,16.1,"BAT1"
"164",0.15152,16.2,"BAT1"
"165",0.15152,16.3,"BAT1"
"166",0.15152,16.4,"BAT1"
"167",0.15152,16.5,"BAT1"
"168",0.15152,16.6,"BAT1"
"169",0.18182,16.7,"BAT1"
"170",0.18182,16.8,"BAT1"
"171",0.18182,16.9,"BAT1"
"172",0.18182,17,"BAT1"
"173",0.18182,17.1,"BAT1"
"174",0.18182,17.2,"BAT1"
"175",0.18182,17.3,"BAT1"
"176",0.18182,17.4,"BAT1"
"177",0.18182,17.5,"BAT1"
"178",0.18182,17.6,"BAT1"
"179",0.18182,17.7,"BAT1"
"180",0.18182,17.8,"BAT1"
"181",0.21212,17.9,"BAT1"
"182",0.21212,18,"BAT1"
"183",0.21212,18.1,"BAT1"
"184",0.21212,18.2,"BAT1"
"185",0.21212,18.3,"BAT1"
"186",0.21212,18.4,"BAT1"
"187",0.21212,18.5,"BAT1"
"188",0.21212,18.6,"BAT1"
"189",0.21212,18.7,"BAT1"
"190",0.24242,18.8,"BAT1"
"191",0.24242,18.9,"BAT1"
"192",0.24242,19,"BAT1"
"193",0.24242,19.1,"BAT1"
"194",0.24242,19.2,"BAT1"
"195",0.24242,19.3,"BAT1"
"196",0.24242,19.4,"BAT1"
"197",0.24242,19.5,"BAT1"
"198",0.27273,19.6,"BAT1"
"199",0.27273,19.7,"BAT1"
"200",0.27273,19.8,"BAT1"
"201",0.27273,19.9,"BAT1"
"202",0.27273,20,"BAT1"
"203",0.27273,20.1,"BAT1"
"204",0.27273,20.2,"BAT1"
"205",0.27273,20.3,"BAT1"
"206",0.27273,20.4,"BAT1"
"207",0.30303,20.5,"BAT1"
"208",0.27273,20.6,"BAT1"
"209",0.30303,20.7,"BAT1"
"210",0.30303,20.8,"BAT1"
"211",0.30303,20.9,"BAT1"
"212",0.30303,21,"BAT1"
"213",0.30303,21.1,"BAT1"
"214",0.30303,21.2,"BAT1"
"215",0.33333,21.3,"BAT1"
"216",0.33333,21.4,"BAT1"
"217",0.33333,21.5,"BAT1"
"218",0.33333,21.6,"BAT1"
"219",0.33333,21.7,"BAT1"
"220",0.33333,21.8,"BAT1"
"221",0.36364,21.9,"BAT1"
"222",0.36364,22,"BAT1"
"223",0.36364,22.1,"BAT1"
"224",0.36364,22.2,"BAT1"
"225",0.36364,22.3,"BAT1"
"226",0.36364,22.4,"BAT1"
"227",0.39394,22.5,"BAT1"
"228",0.39394,22.6,"BAT1"
"229",0.39394,22.7,"BAT1"
"230",0.39394,22.8,"BAT1"
"231",0.39394,22.9,"BAT1"
"232",0.42424,23,"BAT1"
"233",0.42424,23.1,"BAT1"
"234",0.42424,23.2,"BAT1"
"235",0.42424,23.3,"BAT1"
"236",0.45455,23.4,"BAT1"
"237",0.45455,23.5,"BAT1"
"238",0.45455,23.6,"BAT1"
"239",0.48485,23.7,"BAT1"
"240",0.48485,23.8,"BAT1"
"241",0.48485,23.9,"BAT1"
"242",0.48485,24,"BAT1"
"243",0.51515,24.1,"BAT1"
"244",0.51515,24.2,"BAT1"
"245",0.51515,24.3,"BAT1"
"246",0.51515,24.4,"BAT1"
"247",0.51515,24.5,"BAT1"
"248",0.54545,24.6,"BAT1"
"249",0.54545,24.7,"BAT1"
"250",0.54545,24.8,"BAT1"
"251",0.57576,24.9,"BAT1"
"252",0.57576,25,"BAT1"
"253",0.57576,25.1,"BAT1"
"254",0.60606,25.2,"BAT1"
"255",0.60606,25.3,"BAT1"
"256",0.60606,25.4,"BAT1"
"257",0.60606,25.5,"BAT1"
"258",0.63636,25.6,"BAT1"
"259",0.63636,25.7,"BAT1"
"260",0.63636,25.8,"BAT1"
"261",0.66667,25.9,"BAT1"
"262",0.66667,26,"BAT1"
"263",0.69697,26.1,"BAT1"
"264",0.69697,26.2,"BAT1"
"265",0.69697,26.3,"BAT1"
"266",0.72727,26.4,"BAT1"
"267",0.72727,26.5,"BAT1"
"268",0.72727,26.6,"BAT1"
"269",0.75758,26.7,"BAT1"
"270",0.75758,26.8,"BAT1"
"271",0.78788,26.9,"BAT1"
"272",0.78788,27,"BAT1"
"273",0.81818,27.1,"BAT1"
"274",0.81818,27.2,"BAT1"
"275",0.81818,27.3,"BAT1"
"276",0.84848,27.4,"BAT1"
"277",0.84848,27.5,"BAT1"
"278",0.87879,27.6,"BAT1"
"279",0.90909,27.7,"BAT1"
"280",0.90909,27.8,"BAT1"
"281",0.90909,27.9,"BAT1"
"282",0.93939,28,"BAT1"
"283",0.93939,28.1,"BAT1"
"284",0.9697,28.2,"BAT1"
"285",0.9697,28.3,"BAT1"
"286",1,28.4,"BAT1"
"287",1,28.5,"BAT1"
"288",1.0303,28.6,"BAT1"
"289",1.0303,28.7,"BAT1"
"290",1.06061,28.8,"BAT1"
"291",1.06061,28.9,"BAT1"
"292",1.09091,29,"BAT1"
"293",1.09091,29.1,"BAT1"
"294",1.12121,29.2,"BAT1"
"295",1.12121,29.3,"BAT1"
"296",1.15152,29.4,"BAT1"
"297",1.15152,29.5,"BAT1"
"298",1.18182,29.6,"BAT1"
"299",1.18182,29.7,"BAT1"
"300",1.21212,29.8,"BAT1"
"301",1.21212,29.9,"BAT1"
"302",1.24242,30,"BAT1"
